probability,time
 1,4.4743
 3,2.0296
 4,1.3064
 6,0.9357
 8,0.854
 9,0.7934
 11,1.1599
 12,1.0096
 14,0.8643
 16,0.809
 17,1.0349
 19,0.9701
 20,1.0671
 22,0.9145
 24,0.8134
 25,0.9592
 27,1.0701
 29,0.9557
 30,0.8211
 32,0.8418
 33,1.1
 35,1.0037
 37,1.0439
 38,0.7846
 40,0.9713
 41,1.1302
 43,1.1026
 45,0.9321
 46,1.0784
 48,0.8138
 50,1.1143
 51,0.9253
 53,1.1172
 54,0.9885
 56,0.961
 58,0.9783
 59,0.9718
 61,0.959
 62,0.9699
 64,1.0557
 66,1.0132
 67,1.0747
 69,0.948
 70,0.9322
 72,1.09
 74,0.8831
 75,0.9361
 77,0.9833
 79,1.0672
 80,0.9503
 82,1.1206
 83,0.9999
 85,1.0883
 87,0.9416
 88,0.9441
 90,1.1045
 91,0.9343
 93,0.9687
 95,1.0192
 96,1.0914
 98,0.9399
 0,0.0
