degree,time
 33.0,26.8034304
 66.0,44.2706176
 99.0,81.6328192
 133.0,125.5791872
 166.0,203.817984
 199.0,295.0997248
 233.0,373.44911360000003
 266.0,468.50442239999995
 299.0,617.0307072
 333.0,834.1222912000001
 366.0,888.523904
 399.0,1007.7830656
 432.0,1266.9315072
 466.0,1564.9232895999999
 499.0,1745.3956607999999
 532.0,1793.8313984000001
 566.0,1953.172864
 599.0,2238.1597696
 632.0,2534.7776
 666.0,3024.071296
 699.0,3350.5676544000003
 732.0,3652.2778111999996
 765.0,4127.2645376
 799.0,4142.3155712
 832.0,4850.483353600001
 865.0,5355.4436864
 899.0,5428.410086399999
 932.0,5798.4726783999995
 965.0,6313.201126399999
 999.0,7044.375808
