degree,time
 3.0,2.0283903999999997
 6.0,0.8587008
 9.0,1.2860672
 13.0,1.5745791999999998
 16.0,2.3526143999999998
 19.0,2.427392
 23.0,2.9528832
 26.0,3.2160256
 29.0,3.099008
 33.0,3.9260672000000003
 36.0,3.5712
 39.0,2.402688
 42.0,2.5260287999999997
 46.0,3.2896
 49.0,3.1759104
 52.0,3.8330368
 56.0,3.5153152000000003
 59.0,3.149312
 62.0,3.2708863999999997
 66.0,3.2909824
 69.0,4.1412864
 72.0,3.721472
 75.0,3.365888
 79.0,3.8532864
 82.0,4.946278400000001
 85.0,4.7679488
 89.0,5.052928
 92.0,5.652787200000001
 95.0,6.0738048
 99.0,6.2139904
